"ID","area_median","area_mean","area_sd","eccentricity_median","eccentricity_mean","eccentricity_sd","min_median","min_mean","min_sd","max_median","max_mean","max_sd"
"1",5737.07958477509,5389.15801614764,1570.69716068015,0.858609677766913,0.827099760228072,0.0598517837033257,65.9062941687753,61.3111266577579,11.5341605656591,110.454630497179,111.103327181722,18.4883755212908
"2",5197.12110726644,5302.72110726644,253.807904948432,0.853261417923369,0.81915677326694,0.0870916333820631,59.0803270983537,62.2386104368736,7.65723189381118,113.292820706792,112.415898058258,8.22059266521113
"3",4148.48442906574,3886.17301038062,1279.35525242326,0.781031156312607,0.677954260567995,0.245864991879129,57.5127226397729,56.8574848127613,7.05932778423149,91.0022808290099,85.9910478569857,19.850129439238
"4",3250.87889273356,3357.25643983083,681.750783590666,0.813225686033948,0.766383624134562,0.0963676922287118,51.7689093908343,51.4757712525779,4.45459998245576,85.0776973423106,83.5190396214212,13.2142166465502
"5",3840.99653979239,3919.8892733564,652.096033282771,0.815762054846168,0.809283622657352,0.0261809567531507,53.5641042203646,54.1496612482043,5.10931648727377,90.2789634585578,92.395180088071,7.15047053351013
"6",4482.76816608997,4390.42214532872,555.507880764448,0.763625095424878,0.777104172041101,0.0431095876561639,60.8480630648305,59.1391206765022,3.75444856275188,94.8668021307741,94.8747239108958,8.42501358183144
"7",5211.34948096886,4962.8678200692,723.969637620864,0.784954523246893,0.78578794701852,0.0130558048753397,64.3352314060587,62.4967326529513,5.23453135809303,103.367937924226,101.035360991867,7.19496086692702
"8",4030.94809688581,3756.14671280277,675.353291171885,0.782388346301108,0.776761927090609,0.074967098664916,54.3327454934261,54.1090720282221,3.05642752743212,90.9321587742827,88.6877774141152,13.8204242763436
"9",4812.98269896194,4716.21314878893,1243.24595583153,0.796243819123302,0.804233460062855,0.0370553203907267,60.068001228699,59.293513993372,8.6520422042445,107.87906115516,100.660217037773,14.4771607153213
"11",2821.20415224913,3360.14394463668,1186.80863646338,0.80018997654068,0.788224428242826,0.0426682827583952,45.3036934232078,50.5800949560909,7.94930535569146,80.4354065183869,83.2548558919438,15.9056264858163
"12",2264.96885813149,2617.5446366782,1327.04879573191,0.813459074528643,0.748623338686102,0.119003092980091,39.8132380044969,44.8398546093218,9.11886897472297,67.8669910933235,71.8081485571256,21.6840315258761
"13",5163.07266435986,4682.12041522491,915.510742261591,0.754595393714726,0.706928544453218,0.12509077822345,65.5238098636388,64.1599699561055,10.5232551653401,94.7793913982194,92.7908529992171,6.99103071614072
"14",4042.46366782007,3938.51349480969,613.229840972161,0.691588199842258,0.704226948718237,0.0995577927055603,58.0655886112006,58.8769335173402,3.14053851168342,80.777556647565,85.7060330936285,12.7174058123327
"19",4552.80276816609,4133.25951557093,1439.53078698415,0.74974449123103,0.749243865966956,0.0440536159471899,61.9909863527886,58.1084024577133,10.3669368054024,93.6805444351576,88.721453857551,17.6589365636896
"20",4566.47750865052,4229.14878892734,642.01314465589,0.745211271391678,0.633507244218222,0.229114762624572,63.5957391565447,62.8792451304629,9.60071272658571,86.7768557832125,86.1937534892669,6.74344133869832
"21",3696.88581314879,2839.08650519031,1290.12499064748,0.704045304778079,0.690915744906365,0.069327287755982,56.8598518553229,49.5235096782458,11.7160715368652,80.5300397774081,69.8067046788096,18.8584546763087
"22",5715.70934256055,5486.16193771626,1698.885373997,0.772146487719281,0.749775835907712,0.101785513757375,65.6142657031788,66.5723230296262,11.6110874118878,94.6448782426424,103.986479664172,19.8689434928064
"23",3459.04498269896,3368.72525951557,1346.34639544405,0.767081042483423,0.748996555630072,0.101686526107443,49.138172302401,52.2996507035385,14.3139613758218,86.9908001970396,79.8912512550318,13.7415951479629
"25",3567.50173010381,3331.65397923875,384.566834186593,0.800660546751943,0.803010760802776,0.0169405491306418,51.1091082011174,50.2391440720998,2.60361559527268,85.6557866169099,84.5122975474719,6.06756376294175
"27",4395.84775086505,4311.87266435986,1101.85248709079,0.746013238868149,0.76112382939392,0.0305462601788886,61.1600323040079,59.4248893307918,9.51835055927991,93.7774907149774,91.4326337406415,10.6327708908135
"29",3949.01038062284,3943.35224913495,496.536936287796,0.686458496382723,0.662926450594758,0.0878973031480903,59.559522283405,60.943742343481,4.20580791308971,80.7778294499377,82.4619143539405,6.81696988942833
"31",3251.59861591696,3271.77301038062,439.445774088912,0.811731121967158,0.794557429476051,0.0541526005335917,48.5146129799672,50.2351233451617,5.6586414214082,83.9731719247961,83.4211268728532,3.86551290230057
"33",3536.276816609,4306.96747404844,1586.01613036446,0.790146389586248,0.787912642625466,0.0368873560683805,52.2289857603526,57.6546827627737,12.685996687363,89.1488294916985,93.258239477975,14.0732168232035
"34",3497.96539792388,3855.78961937716,736.489381871565,0.740535241919296,0.732126787947588,0.0353287651395363,54.903627925296,57.741830971014,6.1517269514658,84.7037404158048,84.9790861389009,7.49319628189608
