"ID","Sex","Age","Province","Treatment","Pigmentation_analysis","var","value"
5,"Female","20-30","Morobe","None",TRUE,"section_max_sd",7.15047053351013
6,"Female","20-30","East New Britain","None",TRUE,"curv_mean",0.54637754736569
6,"Female","20-30","East New Britain","None",TRUE,"curv_median",0.585441238249103
6,"Female","20-30","East New Britain","None",TRUE,"length_mean",3.97474675023906
6,"Female","20-30","East New Britain","None",TRUE,"length_median",3.6968166517253
6,"Female","20-30","East New Britain","None",TRUE,"hair_count",22
6,"Female","20-30","East New Britain","None",TRUE,"section_area_median",4482.76816608997
6,"Female","20-30","East New Britain","None",TRUE,"section_area_mean",4390.42214532872
6,"Female","20-30","East New Britain","None",TRUE,"section_area_sd",555.507880764448
6,"Female","20-30","East New Britain","None",TRUE,"section_eccentricity_median",0.763625095424878
6,"Female","20-30","East New Britain","None",TRUE,"section_eccentricity_mean",0.777104172041101
6,"Female","20-30","East New Britain","None",TRUE,"section_eccentricity_sd",0.0431095876561639
6,"Female","20-30","East New Britain","None",TRUE,"section_min_median",60.8480630648305
6,"Female","20-30","East New Britain","None",TRUE,"section_min_mean",59.1391206765022
6,"Female","20-30","East New Britain","None",TRUE,"section_min_sd",3.75444856275188
6,"Female","20-30","East New Britain","None",TRUE,"section_max_median",94.8668021307741
6,"Female","20-30","East New Britain","None",TRUE,"section_max_mean",94.8747239108958
6,"Female","20-30","East New Britain","None",TRUE,"section_max_sd",8.42501358183144
7,"Female","20-30","Bougainville","None",TRUE,"curv_mean",0.424859957132152
7,"Female","20-30","Bougainville","None",TRUE,"curv_median",0.453988341939121
7,"Female","20-30","Bougainville","None",TRUE,"length_mean",3.88374673169898
7,"Female","20-30","Bougainville","None",TRUE,"length_median",3.98429092145883
7,"Female","20-30","Bougainville","None",TRUE,"hair_count",21
7,"Female","20-30","Bougainville","None",TRUE,"section_area_median",5211.34948096886
7,"Female","20-30","Bougainville","None",TRUE,"section_area_mean",4962.8678200692
