"ID","Sex","Age","Province","Treatment","Pigmentation_analysis","curv_mean","curv_median","length_mean","length_median","hair_count","section_area_median","section_area_mean","section_area_sd","section_eccentricity_median","section_eccentricity_mean","section_eccentricity_sd","section_min_median","section_min_mean","section_min_sd","section_max_median","section_max_mean","section_max_sd"
1,"Male","20-30","Enga","None",TRUE,0.554498223725417,0.573928236774234,3.22236125782526,2.88678570191754,24,5737.07958477509,5389.15801614764,1570.69716068015,0.858609677766913,0.827099760228072,0.0598517837033257,65.9062941687753,61.3111266577579,11.5341605656591,110.454630497179,111.103327181722,18.4883755212908
2,"Male","20-30","Enga","None",FALSE,0.307677878184478,0.278399837183187,2.70937074477805,2.58070039967364,28,5197.12110726644,5302.72110726644,253.807904948432,0.853261417923369,0.81915677326694,0.0870916333820631,59.0803270983537,62.2386104368736,7.65723189381118,113.292820706792,112.415898058258,8.22059266521113
3,"Female","20-30","Manus","None",TRUE,0.714253084508939,0.739848171998491,4.06918715490509,3.78731545905073,24,4148.48442906574,3886.17301038062,1279.35525242326,0.781031156312607,0.677954260567995,0.245864991879129,57.5127226397729,56.8574848127613,7.05932778423149,91.0022808290099,85.9910478569857,19.850129439238
4,"Male","20-30","Western Highlands","None",TRUE,0.589836339425738,0.613525558427204,3.64858418782729,3.58113671730905,19,3250.87889273356,3357.25643983083,681.750783590666,0.813225686033948,0.766383624134562,0.0963676922287118,51.7689093908343,51.4757712525779,4.45459998245576,85.0776973423106,83.5190396214212,13.2142166465502
5,"Female","20-30","Morobe","None",TRUE,0.420385707655383,0.422516426017097,2.87435188755249,2.73792461863471,26,3840.99653979239,3919.8892733564,652.096033282771,0.815762054846168,0.809283622657352,0.0261809567531507,53.5641042203646,54.1496612482043,5.10931648727377,90.2789634585578,92.395180088071,7.15047053351013
6,"Female","20-30","East New Britain","None",TRUE,0.54637754736569,0.585441238249103,3.97474675023906,3.6968166517253,22,4482.76816608997,4390.42214532872,555.507880764448,0.763625095424878,0.777104172041101,0.0431095876561639,60.8480630648305,59.1391206765022,3.75444856275188,94.8668021307741,94.8747239108958,8.42501358183144
7,"Female","20-30","Bougainville","None",TRUE,0.424859957132152,0.453988341939121,3.88374673169898,3.98429092145883,21,5211.34948096886,4962.8678200692,723.969637620864,0.784954523246893,0.78578794701852,0.0130558048753397,64.3352314060587,62.4967326529513,5.23453135809303,103.367937924226,101.035360991867,7.19496086692702
8,"Female","20-30","East New Britain","None",TRUE,0.470984196211593,0.457660134077551,3.60726805230917,3.49437377861263,31,4030.94809688581,3756.14671280277,675.353291171885,0.782388346301108,0.776761927090609,0.074967098664916,54.3327454934261,54.1090720282221,3.05642752743212,90.9321587742827,88.6877774141152,13.8204242763436
9,"Female","20-30","Morobe","None",TRUE,0.377152865681579,0.414685922853477,4.07324103931334,3.67554219838023,22,4812.98269896194,4716.21314878893,1243.24595583153,0.796243819123302,0.804233460062855,0.0370553203907267,60.068001228699,59.293513993372,8.6520422042445,107.87906115516,100.660217037773,14.4771607153213
11,"Male","20-30","Western Highlands","None",FALSE,0.560316121211191,0.567070945172036,3.47278236680556,3.19171594208716,15,2821.20415224913,3360.14394463668,1186.80863646338,0.80018997654068,0.788224428242826,0.0426682827583952,45.3036934232078,50.5800949560909,7.94930535569146,80.4354065183869,83.2548558919438,15.9056264858163
12,"Male","20-30","Jiwaka","None",FALSE,0.465644292633877,0.522437808639635,3.87500936893854,3.85094176639695,19,2264.96885813149,2617.5446366782,1327.04879573191,0.813459074528643,0.748623338686102,0.119003092980091,39.8132380044969,44.8398546093218,9.11886897472297,67.8669910933235,71.8081485571256,21.6840315258761
13,"Male","20-30","Western Highlands","None",TRUE,0.525071145974305,0.531045183723023,4.50157415653281,4.04739702320426,23,5163.07266435986,4682.12041522491,915.510742261591,0.754595393714726,0.706928544453218,0.12509077822345,65.5238098636388,64.1599699561055,10.5232551653401,94.7793913982194,92.7908529992171,6.99103071614072
14,"Male","20-30","Western Highlands","None",TRUE,0.364629770197762,0.371817810427232,3.53000585712379,3.33862226029268,17,4042.46366782007,3938.51349480969,613.229840972161,0.691588199842258,0.704226948718237,0.0995577927055603,58.0655886112006,58.8769335173402,3.14053851168342,80.777556647565,85.7060330936285,12.7174058123327
19,"Male","20-30","Southern Highlands","None",TRUE,0.310048813954106,0.371875390243082,4.453356663582,4.22696665715563,20,4552.80276816609,4133.25951557093,1439.53078698415,0.74974449123103,0.749243865966956,0.0440536159471899,61.9909863527886,58.1084024577133,10.3669368054024,93.6805444351576,88.721453857551,17.6589365636896
20,"Male","20-30","Western Highlands","None",TRUE,0.297939272550676,0.295148420347845,3.70572950273789,3.72389252675307,17,4566.47750865052,4229.14878892734,642.01314465589,0.745211271391678,0.633507244218222,0.229114762624572,63.5957391565447,62.8792451304629,9.60071272658571,86.7768557832125,86.1937534892669,6.74344133869832
21,"Male","30-40","East Sepik","None",TRUE,0.262590308862507,0.326261325916483,3.44937488941428,3.61243144930593,32,3696.88581314879,2839.08650519031,1290.12499064748,0.704045304778079,0.690915744906365,0.069327287755982,56.8598518553229,49.5235096782458,11.7160715368652,80.5300397774081,69.8067046788096,18.8584546763087
22,"Male","20-30","Gulf","None",TRUE,0.297184994465842,0.232867896280585,3.51229983829117,3.45528764703553,9,5715.70934256055,5486.16193771626,1698.885373997,0.772146487719281,0.749775835907712,0.101785513757375,65.6142657031788,66.5723230296262,11.6110874118878,94.6448782426424,103.986479664172,19.8689434928064
