"ID","curv_mean","curv_median","length_mean","length_median","hair_count"
"1",0.554498223725417,0.573928236774234,3.22236125782526,2.88678570191754,24
"2",0.307677878184478,0.278399837183187,2.70937074477805,2.58070039967364,28
"3",0.714253084508939,0.739848171998491,4.06918715490509,3.78731545905073,24
"4",0.589836339425738,0.613525558427204,3.64858418782729,3.58113671730905,19
"5",0.420385707655383,0.422516426017097,2.87435188755249,2.73792461863471,26
"6",0.54637754736569,0.585441238249103,3.97474675023906,3.6968166517253,22
"7",0.424859957132152,0.453988341939121,3.88374673169898,3.98429092145883,21
"8",0.470984196211593,0.457660134077551,3.60726805230917,3.49437377861263,31
"9",0.377152865681579,0.414685922853477,4.07324103931334,3.67554219838023,22
"11",0.560316121211191,0.567070945172036,3.47278236680556,3.19171594208716,15
"12",0.465644292633877,0.522437808639635,3.87500936893854,3.85094176639695,19
"13",0.525071145974305,0.531045183723023,4.50157415653281,4.04739702320426,23
"14",0.364629770197762,0.371817810427232,3.53000585712379,3.33862226029268,17
"19",0.310048813954106,0.371875390243082,4.453356663582,4.22696665715563,20
"20",0.297939272550676,0.295148420347845,3.70572950273789,3.72389252675307,17
"21",0.262590308862507,0.326261325916483,3.44937488941428,3.61243144930593,32
"22",0.297184994465842,0.232867896280585,3.51229983829117,3.45528764703553,9
"23",0.421146881036025,0.453026207360224,3.34300768379416,3.28268780464706,26
"25",0.464121442592082,0.472734381048998,3.17430335539978,3.15255394457385,35
"27",0.118894022234945,0.11375031662022,3.23435015567596,3.1459035878218,17
"29",0.160619581035846,0.131033459900534,2.95507314459159,2.87865292388243,26
"31",0.326660566576168,0.336211002235596,3.18941288004024,3.03498286869951,27
"33",0.657113756212754,0.65983236433057,4.95066200350627,5.09258350982615,8
"34",0.249638382638402,0.233076915536812,3.22820067494729,2.8747219104305,19
"36",0.39907947857521,0.384554213223572,3.54635267706815,3.42893739999455,18
"38",0.143032483730823,0.128194049356104,3.11395233256399,3.28736943502032,22
"39",0.553690979937077,0.55623091770925,3.38770748793013,3.52719819814816,26
"41",0.472886040440716,0.531752143886991,3.23102628894202,3.11860666912351,14
"42",0.172925012563652,0.145284957962513,3.19607874619844,3.11377688871777,14
"44",0.341767802757483,0.378846246106624,3.02216963060537,2.76395369788951,19
"45",0.151676252972962,0.158808928577751,3.55364305055418,3.44087894456392,21
"46",0.356893739053625,0.526307626614536,2.58124241597249,2.61609717880736,30
"48",0.345838491219795,0.34029128655289,3.26684808961253,3.22975348164729,12
"49",0.394431785904495,0.425775762260352,4.08247579160529,3.37643251108226,27
"51",0.575420640671123,0.692196422788987,3.2477519763301,3.20127930508039,8
"52",0.350363437547681,0.312154687054716,3.87083517959091,3.76933256903265,19
"55",0.23424917023641,0.212134587218941,3.30530245359251,3.41086009335456,23
"57",0.429688993631011,0.494870214702224,4.32559055566055,4.11666177920718,22
"58",1.11668412232016,1.0983038993157,1.8538724370815,1.80175771862674,42
"59",0.359683008414194,0.329744796698647,3.15123695123298,2.83910758248306,12
"60",0.32159485930778,0.316273547171595,3.62010901035287,2.9789993312394,33
"66",0.288521904301732,0.285372166942473,2.69843247935876,2.50890601994537,13
"67",0.295927897590375,0.286498024970255,3.67487619611425,3.59340533136398,20
"68",0.183758004945636,0.184965050313815,3.21544923352986,3.29316406972951,4
"71",0.172624718765722,0.172642594073276,3.06553432134636,3.11855579638905,11
"72",0.554032835282025,0.558134762650148,3.25945762155216,3.32749245284686,20
"73",0.174309467972556,0.11616068569407,3.1281282431437,3.60557775186787,22
"74",0.446690206695756,0.484255231884199,4.20965368981257,3.95863209180468,19
"75",0.373983478900033,0.324122900041211,3.7898141962496,3.36436914557942,21
"76",0.530306811567211,0.535457143978816,3.21246233121626,2.89686614796154,14
"77",0.246873579423784,0.270640616923779,3.55473720080725,3.37516953143134,28
"78",0.188962444261064,0.201372655339616,6.32570557474291,3.64051917875163,28
"79",0.353071638333469,0.345819687340098,3.51493236153971,3.51778415697436,20
"82",0.322480164870645,0.315131440174842,3.62989665839085,3.41390566270626,25
"84",0.349498525287434,0.358486609581966,3.37233741364031,3.03357114346519,29
"85",0.555042482455221,0.574598084735852,4.10948254686688,3.54821535415252,23
"86",0.375824796126814,0.426374751940145,3.41867590350539,3.0844882977764,31
"87",0.412261575338125,0.295355611796828,4.0023613062414,3.21716842439458,21
"88",0.582146474720747,0.616623467628708,3.80200077416291,2.70494622995087,19
"89",0.321842768300959,0.287584167026344,2.71296472085257,2.45201314824515,36
"91",0.408712580947201,0.411526471121916,3.78707359716163,3.76568520133533,21
"93",0.493642075366906,0.523180158155817,2.76487983365383,2.44188908105418,33
"94",0.385018963273506,0.386102975271273,2.7371047532328,2.40461294348942,29
"95",0.625010568120996,0.678571441203717,3.92479856472049,3.54025999437372,21
"96",0.54463808277284,0.538736186940154,2.73342440680065,2.7473457955067,27
"97",0.484688003322931,0.458279242271346,2.91381435125097,2.53423076136187,20
"105",0.528216021315577,0.527826137632187,2.60196585012561,2.33654004510448,21
