old,new,location,comments
P1250779,PNG46_3,20200821_Dump,
P1250780,PNG46_4,20200821_Dump,
P1250781,PNG46_5,20200821_Dump,
P1250782,PNG86_1,20200821_Dump,
P1250783,PNG86_2,20200821_Dump,
P1250784,PNG86_3,20200821_Dump,
P1250785,PNG86_4,20200821_Dump,
P1250786,PNG86_5,20200821_Dump,
P1250787,PNG45_1,20200827_Dump,
P1250788,PNG45_2,20200827_Dump,
P1250789,PNG45_3,20200827_Dump,
P1250790,PNG45_4,20200827_Dump,
P1250791,PNG45_5,20200827_Dump,
P1250792,PNG8_1,20200827_Dump,
P1250793,PNG8_2,20200827_Dump,
P1250794,PNG8_3,20200827_Dump,
P1250795,PNG8_4,20200827_Dump,
P1250796,PNG8_5,20200827_Dump,
P1250797,PNG27_1,20200827_Dump,
P1250798,PNG27_2,20200827_Dump,
P1250799,PNG27_3,20200827_Dump,
P1250800,PNG27_4,20200827_Dump,
P1250801,PNG27_5,20200827_Dump,
P1250802,PNG22_1,20200827_Dump,
P1250803,PNG22_2,20200827_Dump,
P1250804,PNG22_3,20200827_Dump,
P1250805,PNG22_4,20200827_Dump,
P1250806,PNG22_5,20200827_Dump,
P1250807,PNG89_1,20200827_Dump,
P1250809,PNG89_2,20200827_Dump,
P1250810,PNG89_3,20200827_Dump,
P1250811,PNG89_4,20200827_Dump,
P1250812,PNG89_5,20200827_Dump,
P1250813,PNG95_1,20200827_Dump,
P1250815,PNG95_2,20200827_Dump,
P1250816,PNG95_3,20200827_Dump,
P1250817,PNG95_4,20200827_Dump,
P1250818,PNG95_5,20200827_Dump,
P1250819,PNG91_1,20200827_Dump,
P1250820,PNG91_2,20200827_Dump,
P1250821,PNG91_3,20200827_Dump,
P1250822,PNG91_4,20200827_Dump,
P1250824,PNG91_5,20200827_Dump,
P1250825,PNG74_1,20200827_Dump,
P1250826,PNG74_2,20200827_Dump,
P1250827,PNG74_3,20200827_Dump,
P1250828,PNG74_4,20200827_Dump,
P1250829,PNG74_5,20200827_Dump,
P1250830,PNG19_1,20200828_Dump,
P1250831,PNG19_2,20200828_Dump,
P1250832,PNG19_3,20200828_Dump,
P1250833,PNG19_4,20200828_Dump,
P1250834,PNG19_5,20200828_Dump,
P1250835,PNG7_1,20200828_Dump,
P1250836,PNG7_2,20200828_Dump,
P1250837,PNG7_3,20200828_Dump,
P1250838,PNG7_4,20200828_Dump,
P1250840,PNG7_5,20200828_Dump,
P1250841,PNG97_1,20200828_Dump,
P1250842,PNG97_2,20200828_Dump,
P1250843,PNG97_3,20200828_Dump,
P1250844,PNG97_4,20200828_Dump,
P1250845,PNG97_5,20200828_Dump,
P1250846,PNG20_1,20200828_Dump,
P1250847,PNG20_2,20200828_Dump,
P1250848,PNG20_3,20200828_Dump,
P1250849,PNG20_4,20200828_Dump,
P1250850,PNG20_5,20200828_Dump,
P1250851,PNG34_1,20200828_Dump,
P1250852,PNG34_2,20200828_Dump,
P1250853,PNG34_3,20200828_Dump,
P1250854,PNG34_4,20200828_Dump,
P1250855,PNG34_5,20200828_Dump,
P1250856,PNG21_1,20200828_Dump,
P1250857,PNG21_2,20200828_Dump,
P1250858,PNG21_3,20200828_Dump,
P1250859,PNG21_4,20200828_Dump,
P1250860,PNG21_5,20200828_Dump,
P1250861,PNG49_1,20200828_Dump,
P1250862,PNG49_2,20200828_Dump,
P1250863,PNG49_3,20200828_Dump,
