,ID,curv_mean,curv_median,length_mean,length_median,hair_count
0,PNG1,0.5544982237254175,0.5739282367742342,3.222361257825259,2.8867857019175425,24
0,PNG105,0.30767787818447795,0.27839983718318717,2.7093707447780466,2.580700399673638,28
0,PNG11,0.7142530845089388,0.739848171998491,4.0691871549050855,3.7873154590507347,24
0,PNG12,0.5898363394257381,0.6135255584272037,3.648584187827288,3.581136717309053,19
0,PNG13,0.4203857076553828,0.42251642601709705,2.87435188755249,2.737924618634709,26
0,PNG14,0.5463775473656903,0.5854412382491028,3.9747467502390568,3.6968166517253005,22
0,PNG19,0.4248599571321516,0.45398834193912074,3.883746731698982,3.984290921458826,21
0,PNG2,0.47098419621159304,0.45766013407755135,3.607268052309171,3.4943737786126268,31
0,PNG20,0.37715286568157946,0.4146859228534775,4.073241039313341,3.6755421983802297,22
0,PNG21,0.560316121211191,0.567070945172036,3.472782366805562,3.1917159420871632,15
0,PNG22,0.465644292633877,0.5224378086396346,3.875009368938541,3.8509417663969456,19
0,PNG23,0.5250711459743055,0.5310451837230231,4.501574156532814,4.04739702320426,23
0,PNG25,0.3646297701977622,0.3718178104272322,3.530005857123789,3.3386222602926794,17
0,PNG27,0.31004881395410555,0.3718753902430819,4.453356663582005,4.226966657155628,20
0,PNG29,0.2979392725506759,0.2951484203478455,3.7057295027378876,3.7238925267530743,17
0,PNG3,0.26259030886250734,0.32626132591648316,3.449374889414276,3.612431449305931,32
0,PNG31,0.29718499446584223,0.2328678962805848,3.5122998382911708,3.455287647035531,9
0,PNG33,0.42114688103602493,0.45302620736022403,3.3430076837941556,3.282687804647063,26
0,PNG34,0.4641214425920816,0.4727343810489977,3.1743033553997835,3.1525539445738535,35
0,PNG36,0.11889402223494529,0.11375031662021977,3.2343501556759624,3.145903587821799,17
0,PNG38,0.1606195810358463,0.13103345990053353,2.9550731445915877,2.8786529238824308,26
0,PNG39,0.32666056657616777,0.3362110022355964,3.189412880040241,3.0349828686995073,27
0,PNG4,0.6571137562127536,0.6598323643305698,4.950662003506267,5.092583509826151,8
0,PNG41,0.2496383826384023,0.2330769155368118,3.2282006749472854,2.874721910430496,19
0,PNG42,0.39907947857520976,0.3845542132235721,3.5463526770681457,3.4289373999945507,18
0,PNG44,0.1430324837308233,0.12819404935610418,3.1139523325639904,3.2873694350203246,22
0,PNG45,0.553690979937077,0.5562309177092504,3.3877074879301343,3.5271981981481613,26
0,PNG46,0.4728860404407156,0.5317521438869914,3.231026288942021,3.11860666912351,14
0,PNG48,0.17292501256365236,0.14528495796251328,3.196078746198444,3.1137768887177684,14
0,PNG49,0.3417678027574833,0.3788462461066236,3.022169630605367,2.7639536978895145,19
0,PNG5,0.15167625297296242,0.15880892857775078,3.553643050554175,3.440878944563924,21
0,PNG51,0.35689373905362476,0.5263076266145359,2.581242415972493,2.6160971788073555,30
0,PNG52,0.345838491219795,0.3402912865528904,3.2668480896125267,3.2297534816472853,12
0,PNG55,0.39443178590449507,0.4257757622603516,4.082475791605292,3.376432511082264,27
0,PNG57,0.5754206406711226,0.6921964227889874,3.247751976330097,3.2012793050803943,8
0,PNG58,0.35036343754768084,0.3121546870547158,3.870835179590908,3.7693325690326507,19
0,PNG59,0.2342491702364095,0.21213458721894138,3.3053024535925144,3.4108600933545574,23
0,PNG6,0.4296889936310114,0.4948702147022237,4.325590555660554,4.116661779207179,22
0,PNG60,1.1166841223201565,1.0983038993157048,1.853872437081501,1.801757718626737,42
0,PNG66,0.3596830084141939,0.32974479669864687,3.15123695123298,2.8391075824830554,12
0,PNG67,0.3215948593077801,0.31627354717159545,3.620109010352868,2.978999331239404,33
0,PNG68,0.28852190430173186,0.28537216694247275,2.6984324793587584,2.5089060199453708,13
0,PNG7,0.29592789759037463,0.28649802497025517,3.674876196114255,3.5934053313639778,20
0,PNG71,0.18375800494563627,0.1849650503138154,3.2154492335298626,3.2931640697295106,4
0,PNG72,0.17262471876572152,0.17264259407327553,3.0655343213463553,3.1185557963890504,11
0,PNG73,0.5540328352820245,0.5581347626501483,3.259457621552156,3.327492452846859,20
0,PNG74,0.1743094679725557,0.11616068569407001,3.1281282431436988,3.6055777518678687,22
0,PNG75,0.4466902066957556,0.4842552318841994,4.2096536898125665,3.9586320918046813,19
0,PNG76,0.3739834789000332,0.3241229000412114,3.7898141962495995,3.3643691455794222,21
0,PNG77,0.5303068115672115,0.535457143978816,3.212462331216261,2.8968661479615383,14
0,PNG78,0.24687357942378443,0.2706406169237793,3.554737200807253,3.3751695314313426,28
0,PNG79,0.18896244426106407,0.20137265533961557,6.325705574742906,3.6405191787516262,28
0,PNG8,0.35307163833346916,0.3458196873400982,3.5149323615397114,3.517784156974365,20
0,PNG82,0.32248016487064524,0.31513144017484185,3.629896658390846,3.413905662706259,25
0,PNG84,0.3494985252874344,0.3584866095819665,3.372337413640309,3.033571143465187,29
